trip_id,behavior,label,speed_mean,speed_std,accel_long_std,accel_lat_std,distance_km
20151110175712-16km-D1-NORMAL1-SECONDARY,NORMAL1,0,0.363782051,0.631466832,0.00249036,0.003190656,0.063055556
20151110180824-16km-D1-NORMAL2-SECONDARY,NORMAL2,0,0.452950558,0.677528446,0.002399681,0.003172436,0.078888889
20151111123124-25km-D1-NORMAL-MOTORWAY,NORMAL,0,0.165509259,0.483004521,0.002511778,0.004966354,0.039722222
20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,AGGRESSIVE,1,0.166892809,0.489665181,0.002760957,0.00302737,0.034166667
20151111132348-25km-D1-DROWSY-MOTORWAY,DROWSY,2,0.581469649,0.757702151,0.0021595,0.00276108,0.151666667
20151111134545-16km-D1-AGGRESSIVE-SECONDARY,AGGRESSIVE,1,0.32038835,0.604998508,0.003131821,0.003471493,0.045833333
20151111135612-13km-D1-DROWSY-SECONDARY,DROWSY,2,0.802,0.812475373,0.002266478,0.002549486,0.111388889
20151120131714-26km-D2-NORMAL-MOTORWAY,NORMAL,0,0.203644159,0.513035662,0.002178403,0.002492408,0.052777778
20151120133502-26km-D2-AGGRESSIVE-MOTORWAY,AGGRESSIVE,1,0.371194379,0.673855577,0.00254108,0.003192432,0.088055556
20151120135152-25km-D2-DROWSY-MOTORWAY,DROWSY,2,0.603020496,0.832591742,0.002128182,0.003300115,0.155277778
20151120160904-16km-D2-NORMAL1-SECONDARY,NORMAL1,0,0.15625,0.404154869,0.002291789,0.002153151,0.027777778
20151120162105-17km-D2-NORMAL2-SECONDARY,NORMAL2,0,0.110456554,0.361730841,0.002215028,0.002070776,0.020833333
20151120163350-16km-D2-AGGRESSIVE-SECONDARY,AGGRESSIVE,1,0.301980198,0.538957708,0.002481679,0.002444701,0.050833333
20151120164606-16km-D2-DROWSY-SECONDARY,DROWSY,2,0.700787402,0.803334539,0.002349959,0.003494574,0.123611111
20151126110502-26km-D3-NORMAL-MOTORWAY,NORMAL,0,0.185430464,0.524375643,0.002410501,0.002446092,0.046666667
20151126113754-26km-D3-DROWSY-MOTORWAY,DROWSY,2,0.540218471,0.774930993,0.002195071,0.003474486,0.151111111
20151126124208-16km-D3-NORMAL1-SECONDARY,NORMAL1,0,0.224817518,0.506360281,0.002428331,0.002154041,0.042777778
20151126125458-16km-D3-NORMAL2-SECONDARY,NORMAL2,0,0.256797583,0.574738526,0.002484796,0.002240267,0.047222222
20151126130707-16km-D3-AGGRESSIVE-SECONDARY,AGGRESSIVE,1,0.234234234,0.51072624,0.002484788,0.002458154,0.043333333
20151126132013-17km-D3-DROWSY-SECONDARY,DROWSY,2,0.715384615,0.829303599,0.002487591,0.002661544,0.129166667
20151126134736-26km-D3-AGGRESSIVE-MOTORWAY,AGGRESSIVE,1,0.179518072,0.493934021,0.003782721,0.016401571,0.041388889
20151203171800-16km-D4-NORMAL1-SECONDARY,NORMAL1,0,0.057342657,0.266339832,0.002491663,0.001837077,0.011388889
20151203173103-17km-D4-NORMAL2-SECONDARY,NORMAL2,0,0.107352941,0.328255162,0.002672115,0.001952257,0.020277778
20151203174324-16km-D4-AGGRESSIVE-SECONDARY,AGGRESSIVE,1,0.183413078,0.419012028,0.002787897,0.002494685,0.031944444
20151203175637-17km-D4-DROWSY-SECONDARY,DROWSY,2,0.680351906,0.798600755,0.002737361,0.002961556,0.128888889
20151204152848-25km-D4-NORMAL-MOTORWAY,NORMAL,0,0.074521652,0.324542789,0.002573499,0.002113759,0.020555556
20151204154908-25km-D4-AGGRESSIVE-MOTORWAY,AGGRESSIVE,1,0.126473741,0.407910117,0.002707141,0.002801444,0.032777778
20151204160823-25km-D4-DROWSY-MOTORWAY,DROWSY,2,0.566829268,0.744558512,0.002664581,0.002756786,0.161388889
20151209151242-25km-D5-NORMAL-MOTORWAY,NORMAL,0,0.131378936,0.402577496,0.00246378,0.004736645,0.033611111
20151209153137-25km-D5-AGGRESSIVE-MOTORWAY,AGGRESSIVE,1,0.179874214,0.464451665,0.003028486,0.005348136,0.039722222
20151211160213-25km-D5-DROWSY-MOTORWAY,DROWSY,2,0.662694775,0.755330705,0.004876887,0.021117528,0.200833333
20151211162829-16km-D5-NORMAL1-SECONDARY,NORMAL1,0,0.138483965,0.366167811,0.002270513,0.001851256,0.026388889
20151211164124-17km-D5-NORMAL2-SECONDARY,NORMAL2,0,0.136163982,0.398561838,0.002328861,0.001917832,0.025833333
20151211165606-12km-D5-AGGRESSIVE-SECONDARY,AGGRESSIVE,1,0.381733021,0.566633907,0.00266,0.00320637,0.045277778
20151211170502-16km-D5-DROWSY-SECONDARY,DROWSY,2,0.912356322,0.793547481,0.002032684,0.002725929,0.176388889
20151217162714-26km-D6-NORMAL-MOTORWAY,NORMAL,0,0.088062622,0.345779597,0.003452593,0.003464725,0.025
20151217164730-25km-D6-DROWSY-MOTORWAY,DROWSY,2,0.50231696,0.729541122,0.002754581,0.004031771,0.150555556
20151221112434-17km-D6-NORMAL-SECONDARY,NORMAL,0,0.034394904,0.182357498,0.002310649,0.003101177,0.0075
20151221113846-16km-D6-DROWSY-SECONDARY,DROWSY,2,0.528846154,0.722400696,0.002413383,0.003578649,0.106944444
20151221120051-26km-D6-AGGRESSIVE-MOTORWAY,AGGRESSIVE,1,0.081967213,0.341915794,0.002852343,0.005023272,0.020833333
