lat,lon,speed_kmh
40.469337,-3.431236,134.4
40.469337,-3.431236,134.4
40.469265,-3.431672,136.5
40.469204,-3.432111,135.6
40.469143,-3.432545,136.3
40.469006,-3.433439,137.1
40.469006,-3.433439,137.1
40.468941,-3.433881,136.3
40.468868,-3.434329,137.3
40.4688,-3.434758,137.0
40.468731,-3.435203,136.1
40.468658,-3.435642,135.9
40.46859,-3.436077,135.4
40.468445,-3.436946,137.0
40.468445,-3.436946,137.0
40.468288,-3.437804,136.8
40.468288,-3.437804,136.8
40.46814,-3.438662,135.8
40.46814,-3.438662,135.8
40.467987,-3.439519,135.6
40.467915,-3.439975,136.5
40.467915,-3.439975,136.5
40.46777,-3.440814,136.8
40.46777,-3.440814,136.8
40.467712,-3.441252,136.5
40.467648,-3.441724,137.1
40.467587,-3.442177,136.3
40.467537,-3.44263,136.3
40.467499,-3.443082,136.5
40.467415,-3.443954,134.5
40.467373,-3.444395,135.0
40.467373,-3.444395,135.0
40.467339,-3.444818,134.9
40.4673,-3.445258,133.7
40.467255,-3.445712,133.8
40.467224,-3.446146,133.4
40.467194,-3.446579,133.2
40.467148,-3.447024,132.2
40.467113,-3.447432,131.7
40.467045,-3.448296,132.0
40.467045,-3.448296,132.0
40.46701,-3.448722,132.1
40.466953,-3.449591,131.3
40.466934,-3.450023,130.4
40.466934,-3.450023,130.4
40.466911,-3.450454,130.5
40.466873,-3.450893,130.9
40.466835,-3.451312,129.2
40.466805,-3.451741,129.9
40.46677,-3.452176,130.4
40.466755,-3.452612,130.5
40.466751,-3.453038,128.7
40.466747,-3.453461,129.9
40.466751,-3.453894,130.3
40.466751,-3.454315,130.2
40.46674,-3.455168,131.9
40.46674,-3.455168,131.9
40.466743,-3.456024,130.6
40.466743,-3.456024,130.6
40.466747,-3.456443,132.3
40.466747,-3.456882,132.2
40.466763,-3.457319,131.5
40.46677,-3.457748,132.4
40.466797,-3.458614,131.7
40.466797,-3.458614,131.7
40.46682,-3.459058,132.0
40.466843,-3.459497,132.5
40.466877,-3.459938,131.3
40.466919,-3.460781,131.6
40.466938,-3.461208,130.8
40.466965,-3.461621,130.1
40.466965,-3.461621,130.1
40.466995,-3.462031,128.7
40.46701,-3.462447,126.3
40.46703,-3.462856,123.9
40.467045,-3.463247,117.8
40.467056,-3.463609,112.4
40.467072,-3.463974,107.0
40.467075,-3.464324,105.9
40.467094,-3.465006,98.9
40.467094,-3.465006,98.9
40.467102,-3.465658,97.5
40.467102,-3.465658,97.5
40.467102,-3.465971,98.5
40.467102,-3.466295,98.8
40.467098,-3.466614,99.7
40.467098,-3.466927,100.3
40.467098,-3.46726,101.2
40.467094,-3.467586,99.0
40.467094,-3.467914,98.0
40.467094,-3.468233,96.4
40.467087,-3.468543,95.7
40.467083,-3.468848,94.5
40.467072,-3.469153,92.7
40.46706,-3.469452,91.7
40.467045,-3.470038,90.7
40.467045,-3.470038,90.7
40.467037,-3.470332,90.7
40.467014,-3.470928,91.5
40.466999,-3.471226,91.3
